country,year,pop,continent,lifeExp,gdpPercap
Reunion,1952,257700,Africa,52.724,2718.885295
Reunion,1957,308700,Africa,55.09,2769.451844
Reunion,1962,358900,Africa,57.666,3173.72334
Reunion,1967,414024,Africa,60.542,4021.175739
Reunion,1972,461633,Africa,64.274,5047.658563
Reunion,1977,492095,Africa,67.064,4319.804067
Reunion,1982,517810,Africa,69.885,5267.219353
Reunion,1987,562035,Africa,71.913,5303.377488
Reunion,1992,622191,Africa,73.615,6101.255823
Reunion,1997,684810,Africa,74.772,6071.941411
Reunion,2002,743981,Africa,75.744,6316.1652
Reunion,2007,798094,Africa,76.442,7670.122558
Romania,1952,1663e4,Europe,61.05,3144.613186
Romania,1957,17829327,Europe,64.1,3943.370225
Romania,1962,18680721,Europe,66.8,4734.997586
Romania,1967,19284814,Europe,66.8,6470.866545
Romania,1972,20662648,Europe,69.21,8011.414402
Romania,1977,21658597,Europe,69.46,9356.39724
Romania,1982,22356726,Europe,69.66,9605.314053
Romania,1987,22686371,Europe,69.53,9696.273295
Romania,1992,22797027,Europe,69.36,6598.409903
Romania,1997,22562458,Europe,69.72,7346.547557
Romania,2002,22404337,Europe,71.322,7885.360081
Romania,2007,22276056,Europe,72.476,10808.47561
Rwanda,1952,2534927,Africa,40,493.3238752
Rwanda,1957,2822082,Africa,41.5,540.2893983
Rwanda,1962,3051242,Africa,43,597.4730727
Rwanda,1967,3451079,Africa,44.1,510.9637142
Rwanda,1972,3992121,Africa,44.6,590.5806638
Rwanda,1977,4657072,Africa,45,670.0806011
Rwanda,1982,5507565,Africa,46.218,881.5706467
Rwanda,1987,6349365,Africa,44.02,847.991217
Rwanda,1992,7290203,Africa,23.599,737.0685949
Rwanda,1997,7212583,Africa,36.087,589.9445051
Rwanda,2002,7852401,Africa,43.413,785.6537648
Rwanda,2007,8860588,Africa,46.242,863.0884639
Yemen Rep.,1952,4963829,Asia,32.548,781.7175761
Yemen Rep.,1957,5498090,Asia,33.97,804.8304547
Yemen Rep.,1962,6120081,Asia,35.18,825.6232006
Yemen Rep.,1967,6740785,Asia,36.984,862.4421463
Yemen Rep.,1972,7407075,Asia,39.848,1265.047031
Yemen Rep.,1977,8403990,Asia,44.175,1829.765177
Yemen Rep.,1982,9657618,Asia,49.113,1977.55701
Yemen Rep.,1987,11219340,Asia,52.922,1971.741538
Yemen Rep.,1992,13367997,Asia,55.599,1879.496673
Yemen Rep.,1997,15826497,Asia,58.02,2117.484526
Yemen Rep.,2002,18701257,Asia,60.308,2234.820827
Yemen Rep.,2007,22211743,Asia,62.698,2280.769906
