country,year,pop,continent,lifeExp,gdpPercap
Madagascar,1952,4762912,Africa,36.681,1443.011715
Madagascar,1957,5181679,Africa,38.865,1589.20275
Madagascar,1962,5703324,Africa,40.848,1643.38711
Madagascar,1967,6334556,Africa,42.881,1634.047282
Madagascar,1972,7082430,Africa,44.851,1748.562982
Madagascar,1977,8007166,Africa,46.881,1544.228586
Madagascar,1982,9171477,Africa,48.969,1302.878658
Madagascar,1987,10568642,Africa,49.35,1155.441948
Madagascar,1992,12210395,Africa,52.214,1040.67619
Madagascar,1997,14165114,Africa,54.978,986.2958956
Madagascar,2002,16473477,Africa,57.286,894.6370822
Madagascar,2007,19167654,Africa,59.443,1044.770126
Malawi,1952,2917802,Africa,36.256,369.1650802
Malawi,1957,3221238,Africa,37.207,416.3698064
Malawi,1962,3628608,Africa,38.41,427.9010856
Malawi,1967,4147252,Africa,39.487,495.5147806
Malawi,1972,4730997,Africa,41.766,584.6219709
Malawi,1977,5637246,Africa,43.767,663.2236766
Malawi,1982,6502825,Africa,45.642,632.8039209
Malawi,1987,7824747,Africa,47.457,635.5173634
Malawi,1992,10014249,Africa,49.42,563.2000145
Malawi,1997,10419991,Africa,47.495,692.2758103
Malawi,2002,11824495,Africa,45.009,665.4231186
Malawi,2007,13327079,Africa,48.303,759.3499101
Malaysia,1952,6748378,Asia,48.463,1831.132894
Malaysia,1957,7739235,Asia,52.102,1810.066992
Malaysia,1962,8906385,Asia,55.737,2036.884944
Malaysia,1967,10154878,Asia,59.371,2277.742396
Malaysia,1972,11441462,Asia,63.01,2849.09478
Malaysia,1977,12845381,Asia,65.256,3827.921571
Malaysia,1982,14441916,Asia,68,4920.355951
Malaysia,1987,16331785,Asia,69.5,5249.802653
Malaysia,1992,18319502,Asia,70.693,7277.912802
Malaysia,1997,20476091,Asia,71.938,10132.90964
Malaysia,2002,22662365,Asia,73.044,10206.97794
Malaysia,2007,24821286,Asia,74.241,12451.6558
Mali,1952,3838168,Africa,33.685,452.3369807
Mali,1957,4241884,Africa,35.307,490.3821867
Mali,1962,4690372,Africa,36.936,496.1743428
Mali,1967,5212416,Africa,38.487,545.0098873
Mali,1972,5828158,Africa,39.977,581.3688761
Mali,1977,6491649,Africa,41.714,686.3952693
Mali,1982,6998256,Africa,43.916,618.0140641
